nmfat,dtfat,idcli,npais,quant,valor,,,,Média dos Valores:,408.22
536365,3/30/2021 16:14:00,15528,United Kingdom,123,229.33,,,,Média das Quantidades:,222.69
536366,11/11/2021 11:11,17348,United Kingdom,163,209.73,,,,,
536367,12/10/2021 11:32,12471,Germany,-1,-1.45,,,,,
536368,6/4/2021 12:08,17045,United Kingdom,1,39.95,,,,,
536369,10/27/2021 15:33:00,16416,United Kingdom,357,344.83,,,,,
536370,11/16/2021 8:38:00,13816,Germany,91,199.98,,,,,
536371,9/12/2020 15:46,18225,United Kingdom,16,30,,,,,
536372,2/18/2021 10:42:00,13489,United Kingdom,64,77.28,,,,,
536373,11/3/2021 11:41,15513,United Kingdom,10,67.5,,,,,
536374,11/10/2021 13:34,14911,Ireland,86,321.35,,,,,
536375,10/2/2021 15:51,16558,United Kingdom,-5,-9.25,,,,,
536376,12/21/2020 15:18:00,,United Kingdom,143,1172.46,,,,,
536377,8/12/2020 14:25,,United Kingdom,1484,6073.71,,,,,
536378,10/11/2021 11:53,12659,France,105,91.68,,,,,
536380,6/12/2021 16:35,17389,United Kingdom,96,720,,,,,
536381,11/2/2021 14:26,18159,United Kingdom,139,530.15,,,,,
536384,5/17/2021 13:44:00,14000,United Kingdom,-3,-1.95,,,,,
536385,8/14/2021 15:56:00,17988,United Kingdom,1,2.95,,,,,
536386,2/3/2021 13:42,15622,United Kingdom,222,576,,,,,
536387,11/21/2021 11:48:00,12628,Germany,-3,-16.85,,,,,
536389,3/22/2021 11:17:00,17416,United Kingdom,-12,-45,,,,,
536390,10/6/2021 13:23,,United Kingdom,92,435.69,,,,,
536392,2/6/2021 18:28,17231,United Kingdom,-2,-19.9,,,,,
536393,11/15/2021 13:48:00,12950,United Kingdom,164,311.6,,,,,
536394,4/19/2021 13:56:00,13719,United Kingdom,78,132.9,,,,,
536395,11/14/2021 8:22:00,17404,Sweden,1060,1238.48,,,,,
536396,4/8/2021 16:32,,United Kingdom,526,1691.38,,,,,
536397,12/10/2021 11:33,17190,United Kingdom,160,249.74,,,,,
536398,3/12/2020 16:35,12395,Belgium,528,346.1,,,,,
